,Locus tag,Mean count,L v S log2 FC,Locus,Protein name
402,PA1754,118.9757962,-0.889437648,cysB,transcriptional regulator CysB
403,PA3943,250.2901531,-0.887552723,-,hypothetical protein PA3943
404,PA2669,141.7820888,-0.887276805,-,hypothetical protein PA2669
405,PA1587,83.43005102,-0.886691727,lpdG,2-oxoglutarate dehydrogenase complex dihydrolipoyl dehydrogenase
406,PA3761,550.9145067000001,-0.884913087,-,N-acetyl-D-glucosamine phosphotransferase system transporter
407,PA4442,707.7523121,-0.884397488,cysN,bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase
408,PA0862,62.27186937,-0.884372574,-,hypothetical protein PA0862
409,PA4347,62.27186937,-0.884372574,-,hypothetical protein PA4347
410,PA4676,900.8931028999999,-0.88388548,-,carbonic anhydrase
411,PA5130,23.25172805,-0.883757758,-,hypothetical protein PA5130
412,PA4587,226.23664130000003,-0.883609318,ccpR,cytochrome C551 peroxidase
413,PA4444,920.4477171,-0.882896152,mltB1,murein hydrolase B
414,PA1797,785.5698771000001,-0.882849613,-,hypothetical protein PA1797
415,PA3347,14.83299893,-0.882831321,-,hypothetical protein PA3347
416,PA3141,516.7496112,-0.882540071,wbpM,nucleotide sugar epimerase/dehydratase WbpM
417,PA2622,248.01843250000002,-0.882070077,cspD,cold-shock protein CspD
418,PA0658,298.57535079999997,-0.880293532,-,short-chain dehydrogenase
419,PA1563,70.69059849,-0.880083324,-,23S rRNA (cytidine(2498)-2\'-O)-methyltransferase RlmM
420,PA0327,170.33449819999998,-0.87906647,-,hypothetical protein PA0327
421,PA0770,10.11138365,-0.879037991,rnc,ribonuclease III
422,PA2946,135.8132544,-0.878198329,-,hypothetical protein PA2946
423,PA1158,120.4011895,-0.875829883,-,two-component sensor
424,PA0677,24.27622947,-0.873778471,-,HxcW pseudopilin
425,PA3561,24.27622947,-0.873778471,fruK,1-phosphofructokinase
426,PA5285,32.69495859,-0.872483051,-,hypothetical protein PA5285
427,PA1005,693.6765534,-0.871961464,-,hypothetical protein PA1005
428,PA1796,480.09027760000004,-0.871854593,folD,"bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase"
429,EBG00001435520,5354.445350999999,-0.870666486,NaN,NaN
430,PA1670,15.85750035,-0.870662929,stp1,serine/threonine phosphoprotein phosphatase Stp1
431,PA5524,178.12961769999998,-0.869679963,-,short-chain dehydrogenase
432,PA2504,169.087279,-0.868385926,-,hypothetical protein PA2504
433,PA0745,20.57911563,-0.868117721,-,enoyl-CoA hydratase
434,PA5045,2341.030305,-0.868078855,ponA,penicillin-binding protein 1A
435,PA5086,62.67276123,-0.86483059,NaN,NaN
436,PA3614,216.74886719999998,-0.863746716,-,hypothetical protein PA3614
437,PA3003,252.29461239999998,-0.862384824,-,hypothetical protein PA3003
438,PA3747,67.3943765,-0.861665971,-,hypothetical protein PA3747
439,PA3039,38.441075299999994,-0.861622174,-,transporter
440,PA4135,30.02234617,-0.860816562,-,transcriptional regulator
441,PA3927,16.88200178,-0.859199139,-,transcriptional regulator
442,PA2670,21.60361705,-0.857951681,-,hypothetical protein PA2670
443,PA4176,21.60361705,-0.857951681,ppiC2,peptidyl-prolyl cis-trans isomerase C2
444,PA1297,210.78003280000001,-0.857716011,-,metal transporter
445,PA4218,34.74396145,-0.857684992,-,transporter
446,PA3850,557.7742119,-0.856182767,-,hypothetical protein PA3850
447,PA0814,113.8087455,-0.85580676,-,hypothetical protein PA0814
448,PA3901,1055.0582960000002,-0.855273258,fecA,Fe(III) dicitrate transporter FecA
449,PA4924,783.5208742000001,-0.855107894,-,hypothetical protein PA4924
450,PA0816,186.32562919999998,-0.854275768,-,transcriptional regulator
451,PA5000,658.5762436000001,-0.853109541,wapR,"alpha-1,3-rhamnosyltransferase WapR"
452,PA0264,2649.984301,-0.853103513,NaN,NaN
453,PA0581,2060.227827,-0.851801891,-,glycerol-3-phosphate acyltransferase PlsY
454,PA1679,725.0352058,-0.850720354,-,hypothetical protein PA1679
455,EBG00001435462,1580.003919,-0.85018298,NaN,NaN
456,PA5535,22.62811848,-0.84839959,-,hypothetical protein PA5535
457,PA3441,294.388258,-0.848133791,-,molybdopterin-binding protein
458,PA4313,1380.760663,-0.847770314,-,hypothetical protein PA4313
459,PA3143,32.07134903,-0.845663919,-,hypothetical protein PA3143
460,PA1076,92.0269543,-0.843654838,-,hypothetical protein PA1076
461,PA1805,41.51457958,-0.843211992,ppiD,peptidyl-prolyl cis-trans isomerase D
462,PA4494,59.37653924,-0.842971261,roxS,sensor histidine kinase RoxS
463,PA1758,84.63272661,-0.842136488,pabB,para-aminobenzoate synthase component I
464,EBG00001435438,5639.791270000001,-0.840901234,NaN,NaN
465,EBG00001435444,502.58476540000004,-0.840854275,NaN,NaN
466,PA2802,222.0495485,-0.84017728,-,transcriptional regulator
467,PA0407,2330.829834,-0.839634371,gshB,glutathione synthetase
468,PA0245,23.65261991,-0.839414757,aroQ2,3-dehydroquinate dehydratase
469,PA2641,23.65261991,-0.839414757,nuoF,NADH dehydrogenase I subunit F
470,PA2695,23.65261991,-0.839414757,-,hypothetical protein PA2695
471,PA3997,28.37423518,-0.839226204,lipB,lipoate-protein ligase B
472,PA5314,1880.22738,-0.838522689,-,hypothetical protein PA5314
473,PA3090,998.4879998,-0.838264664,NaN,NaN
474,PA3341,37.81746573,-0.838039535,-,transcriptional regulator
475,PA4886,848.0199206,-0.837093336,-,two-component sensor
476,PA4744,135.76871090000003,-0.836645439,infB,translation initiation factor IF-2
477,PA1173,106.1918001,-0.835911606,napB,cytochrome C protein NapB
478,EBG00001435457,69.84427122,-0.835785396,NaN,NaN
479,PA1159,172.7398494,-0.834908184,-,cold-shock protein
480,PA2038,118.30764309999999,-0.834033192,-,hypothetical protein PA2038
481,PA0751,585.4357504,-0.833934081,-,hypothetical protein PA0751
482,PA1194,1063.076133,-0.833525649,-,amino acid permease
483,PA3047,233.54178190000002,-0.833517149,-,D-alanyl-D-alanine carboxypeptidase
484,PA1179,14.20938936,-0.83302046,phoP,two-component response regulator PhoP
485,PA0401,403.87628010000003,-0.832292115,-,dihydroorotase
486,PA1510,84.00911704,-0.830805235,-,hypothetical protein PA1510
487,PA3390,131.4479875,-0.829582429,-,hypothetical protein PA3390
488,PA0609,222.85133219999997,-0.828915478,trpE,anthranilate synthase component I
489,PA4047,19.95550606,-0.828794425,ribA,GTP cyclohydrolase II
490,PA5324,1698.935171,-0.828687814,-,transcriptional regulator
491,PA1291,237.6397876,-0.827900323,-,hypothetical protein PA1291
492,PA4830,44.58808386,-0.826931832,-,hypothetical protein PA4830
493,PA4014,30.42323804,-0.824630152,-,hypothetical protein PA4014
494,PA5218,30.42323804,-0.824630152,-,transcriptional regulator
495,PA4754,960.8932517999999,-0.823225376,-,hypothetical protein PA4754
496,PA3266,15.23389079,-0.822857758,capB,major cold shock protein CspA
497,PA1556,50.33420056,-0.822541751,ccoO2,cbb3-type cytochrome C oxidase subunit II
498,PA0874,99.19846429,-0.82230096,-,hypothetical protein PA0874
499,PA3988,20.98000749,-0.819908225,-,hypothetical protein PA3988
500,PA1423,189.3545899,-0.819144639,bdlA,biofilm dispersion protein
501,PA1842,307.26134110000004,-0.818725127,-,hypothetical protein PA1842
502,PA4604,51.35870199,-0.81803255,-,hypothetical protein PA4604
503,PA5001,51.35870199,-0.81803255,-,hypothetical protein PA5001
504,PA4315,130.20076840000002,-0.815046882,mvaT,transcriptional regulator MvaT
505,PA4386,9.487774088,-0.814747817,groES,co-chaperonin GroES
506,PA0402,57.10481869,-0.814500907,pyrB,aspartate carbamoyltransferase
507,PA5313,1964.01378,-0.814012005,-,omega amino acid--pyruvate transaminase
508,PA1367,52.38320341,-0.813667222,-,hypothetical protein PA1367
509,PA0554,16.25839222,-0.813245183,-,hypothetical protein PA0554
510,PA4262,16.25839222,-0.813245183,rplD,50S ribosomal protein L4
511,PA4128,85.43451033,-0.813043628,-,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"
512,PA2958.1,780.1355651,-0.812600942,NaN,NaN
513,PA4394,115.41231299999998,-0.812061443,-,hypothetical protein PA4394
514,PA0669,772.5186197,-0.812005463,-,error-prone DNA polymerase
515,PA4642,32.47224089,-0.811487126,-,hypothetical protein PA4642
516,PA5150,2830.7865309999997,-0.811067898,-,short-chain dehydrogenase
517,PA3078,210.2900538,-0.810407063,-,two-component sensor
518,PA4232,121.1584297,-0.808208415,ssb,single-stranded DNA-binding protein
519,PA4818,157.50595859999999,-0.807875326,-,hypothetical protein PA4818
520,EBG00001435414,11674.594659999999,-0.805236641,NaN,NaN
521,PA4376,163.2520753,-0.804724119,pncB2,nicotinate phosphoribosyltransferase
522,PA1755,248.6865856,-0.804602825,-,hypothetical protein PA1755
523,PA4267,17.28289364,-0.804171604,rpsG,30S ribosomal protein S7
524,PA3844,39.24285902,-0.803058905,-,hypothetical protein PA3844
525,PA0070,60.17832297,-0.802863416,-,hypothetical protein PA0070
526,PA5073,564.0993946000001,-0.802432829,-,hypothetical protein PA5073
527,PA5492,808.2425390999999,-0.801366011,-,ribosome biogenesis GTP-binding protein YsxC
528,PA3796,94.25413131,-0.800676469,-,hypothetical protein PA3796
529,EBG00001435418,6442.599498,-0.800253323,NaN,NaN
530,PA1044,431.0923832,-0.798570327,-,hypothetical protein PA1044
531,PA4533,90.55701747,-0.798402204,-,hypothetical protein PA4533
532,EBG00001435490,26146.61273,-0.798031134,NaN,NaN
533,PA4870,138.39677980000002,-0.797985452,-,hypothetical protein PA4870
534,PA0179,11.53677694,-0.797164213,-,two-component response regulator
535,PA3585,11.53677694,-0.797164213,glpM,membrane protein GlpM
536,PA5557,18.30739507,-0.795624209,atpH,ATP synthase subunit delta
537,PA0709,29.79962847,-0.795214636,-,hypothetical protein PA0709
538,PA3787,260.5797109,-0.795165975,-,hypothetical protein PA3787
539,EBG00001435423,101.0247494,-0.794806275,NaN,NaN
540,PA1823,254.20998459999998,-0.793667104,-,NADH pyrophosphatase
541,PA3926,244.14314449999998,-0.791779551,-,major facilitator superfamily transporter
542,EBG00001435427,3579.697074,-0.79147243,NaN,NaN
543,PA1583,79.46567593,-0.789442019,sdhA,succinate dehydrogenase flavoprotein subunit
544,PA1825,30.8241299,-0.789162961,-,hypothetical protein PA1825
545,PA0763,12.56127837,-0.788482538,mucA,sigma factor AlgU negative regulator MucA
546,EBG00001435494,19.3318965,-0.787580148,NaN,NaN
547,PA2577,81.51467878,-0.783709741,-,transcriptional regulator
548,PA5316.1,14588.72215,-0.783582703,NaN,NaN
549,PA0278,60.57921483,-0.783118487,-,hypothetical protein PA0278
550,PA1426,66.32533153,-0.782223859,NaN,NaN
551,PA2345,66.32533153,-0.782223859,-,hypothetical protein PA2345
552,PA3443,72.07144824,-0.78106459,-,ABC transporter permease
553,PA3106,298.12991539999996,-0.78021082,-,oxidoreductase
554,PA1602,13.585779800000001,-0.780136838,-,oxidoreductase
555,PA5027,469.44437139999997,-0.778755554,-,hypothetical protein PA5027
556,PA3941,2525.440562,-0.778737104,-,hypothetical protein PA3941
557,PA3898,73.09594966,-0.778098771,-,transcriptional regulator
558,PA0832,56.88210099,-0.776645256,-,hypothetical protein PA0832
559,PA0481,141.2475664,-0.776396536,-,hypothetical protein PA0481
560,PA0935,341.2480624,-0.775851069,-,nucleoside triphosphate pyrophosphohydrolase
561,PA1889,513.4088456999999,-0.775624453,-,hypothetical protein PA1889
562,PA3957,368.1523607,-0.775160016,-,short-chain dehydrogenase
563,PA3263,39.64375088,-0.7744698,-,recombination associated protein RdgC
564,PA3028,208.99829119999998,-0.774466822,moeA2,molybdenum cofactor biosynthesis protein A
565,PA2010,119.6884928,-0.77360747,-,transcriptional regulator
566,PA4618,124.4101081,-0.773549173,-,hypothetical protein PA4618
567,PA1735,21.38089935,-0.772889518,-,hypothetical protein PA1735
568,PA0068,33.89763418,-0.772755244,-,hypothetical protein PA0068
569,PA2716,33.89763418,-0.772755244,-,FMN oxidoreductase
570,PA0991,14.61028122,-0.772200039,NaN,NaN
571,PA3409,14.61028122,-0.772200039,-,transmembrane sensor
572,PA2576,46.41436901,-0.771723084,-,hypothetical protein PA2576
573,PA2859,287.84035750000004,-0.771016988,greB,transcription elongation factor GreB
574,PA0664,86.63718592,-0.770297918,-,hypothetical protein PA0664
575,PA3018,167.929147,-0.769820853,-,hypothetical protein PA3018
576,PA5054,199.9559525,-0.769245459,hslU,ATP-dependent protease ATP-binding subunit HslU
577,PA1937,53.18498714,-0.769176271,-,hypothetical protein PA1937
578,PA5334,694.0774452,-0.768947182,rph,ribonuclease PH
579,PA3178,127.48361240000001,-0.767664879,-,hypothetical protein PA3178
580,PA1572,82.94007207,-0.766206376,-,hypothetical protein PA1572
581,PA3994,289.2657508,-0.765795134,-,epoxide hydrolase
582,PA5558,15.63478265,-0.764700636,atpF,ATP synthase subunit B
583,PA4630,341.8271284,-0.762374897,-,hypothetical protein PA4630
584,PA1826,494.0324057,-0.761340259,-,transcriptional regulator
585,PA1014,116.3922709,-0.760866138,-,glycosyl transferase family protein
586,PA4384,590.2019092,-0.759257522,-,hypothetical protein PA4384
587,PA2501,16.65928408,-0.757527371,-,hypothetical protein PA2501
588,PA3621.1,273.2300763,-0.756926889,NaN,NaN
589,PA3676,1201.562,-0.75626854,-,resistance-nodulation-cell division (RND) efflux transporter
590,PA0426,124.18739040000001,-0.755648744,mexB,multidrug resistance protein MexB
591,PA3076,139.37673769999998,-0.755289016,-,hypothetical protein PA3076
592,PA1756,280.0006944,-0.754695351,cysH,phosphoadenosine phosphosulfate reductase
593,PA4796,302.5842694,-0.753843109,-,hypothetical protein PA4796
594,PA0484,110.0225446,-0.753261502,-,hypothetical protein PA0484
595,EBG00001435472,155.5905863,-0.753056436,NaN,NaN
596,PA0007,938.2651332999999,-0.752822059,-,hypothetical protein PA0007
597,PA3002,214.29897250000002,-0.752195963,mfd,transcription-repair coupling factor
598,PA3057,17.68378551,-0.750729599,-,hypothetical protein PA3057
599,PA4257,17.68378551,-0.750729599,rpsC,30S ribosomal protein S3
600,PA0949,52.56137758,-0.75053251,wrbA,NAD(P)H dehydrogenase
601,PA0040,6.815161669,-0.749681867,-,hypothetical protein PA0040
602,PA5481,6.815161669,-0.749681867,-,hypothetical protein PA5481
603,PA3330,32.24952319,-0.74962512,-,short-chain dehydrogenase
604,PA2111,7.839663096000001,-0.748992051,-,hypothetical protein PA2111
605,PA2146,7.839663096000001,-0.748992051,-,hypothetical protein PA2146
606,PA3745,7.839663096000001,-0.748992051,rpsP,30S ribosomal protein S16
607,PA5017,304.0096627,-0.748942869,-,hypothetical protein PA5017
608,PA0817,25.47890506,-0.748279709,-,ring-cleaving dioxygenase
609,PA2835,25.47890506,-0.748279709,-,major facilitator superfamily transporter
610,PA4238,25.47890506,-0.748279709,rpoA,DNA-directed RNA polymerase subunit alpha
611,PA2753,46.81526087,-0.747139255,-,hypothetical protein PA2753
612,PA0584,902.630301,-0.745642767,cca,multifunctional tRNA nucleotidyl transferase/2\'3\'-cyclic phosphodiesterase/2\'nucleotidase/phosphatase
613,PA3204,33.27402462,-0.74506763,-,two-component response regulator
614,PA4330,1111.138613,-0.744771756,-,enoyl-CoA hydratase
615,PA2631,5.790660241,-0.744457785,-,acetyltransferase
616,PA3276,5.790660241,-0.744457785,-,hypothetical protein PA3276
617,PA4242,5.790660241,-0.744457785,rpmJ,50S ribosomal protein L36
618,PA0776,18.70828693,-0.744303202,-,hypothetical protein PA0776
619,PA2997,18.70828693,-0.744303202,nqrC,Na(+)-translocating NADH-quinone reductase subunit C
620,PA5426,18.70828693,-0.744303202,purE,5-(carboxyamino)imidazole ribonucleotide mutase
621,PA0708,26.50340649,-0.742963664,-,transcriptional regulator
622,PA1419,81.69285294,-0.741689007,-,transporter
623,PA4950,1045.704153,-0.741039886,-,hypothetical protein PA4950
624,PA1006,9.888665951,-0.740684495,-,hypothetical protein PA1006
625,PA3726,9.888665951,-0.740684495,-,hypothetical protein PA3726
626,PA3054,332.11663660000005,-0.740389507,-,hypothetical protein PA3054
627,PA1769,471.76063550000003,-0.740346036,-,phosphoenolpyruvate synthase regulatory protein
628,PA0279,220.84687290000002,-0.739967423,-,transcriptional regulator
629,EBG00001435439,849.534401,-0.739803022,NaN,NaN
630,PA0385,63.43000141,-0.738837619,-,hypothetical protein PA0385
631,PA0774,595.2353293,-0.738447331,-,tRNA (mo5U34)-methyltransferase
632,PA2834,19.73278836,-0.738235924,-,transcriptional regulator
633,PA2603,2133.947386,-0.737879341,-,thiosulfate sulfurtransferase
634,PA5517,321.4261869,-0.734941495,-,hypothetical protein PA5517
635,PA5432,114.5214422,-0.734728968,-,acetyltransferase
636,PA1824,1409.268529,-0.734384137,-,hypothetical protein PA1824
637,PA3469,50.91326658,-0.73437362,-,hypothetical protein PA3469
638,EBG00001435526,4388.696853,-0.733778732,NaN,NaN
639,PA1803,65.47900427,-0.733676177,lon,Lon protease
640,PA2189,109.79982690000001,-0.732927302,-,hypothetical protein PA2189
641,PA4428,104.05371020000001,-0.732745904,sspA,stringent starvation protein A
642,PA0961,36.3475289,-0.732674842,-,cold-shock protein
643,PA3936,20.75728979,-0.73251103,-,taurine ABC transporter permease
644,PA4180,653.3646494,-0.73238706,-,acetolactate synthase
645,PA0361,486.10365549999995,-0.731271151,-,gamma-glutamyltranspeptidase
646,PA0811,782.8527211,-0.730352301,-,major facilitator superfamily transporter
647,PA0894,495.54688600000003,-0.729857808,-,hypothetical protein PA0894
648,PA0950,11.93766881,-0.729618521,-,arsenate reductase
649,PA5271,11.93766881,-0.729618521,-,hypothetical protein PA5271
650,PA2637,29.57691077,-0.728658006,nuoA,NADH-quinone oxidoreductase subunit A
651,PA1571,52.96226944,-0.728584646,-,hypothetical protein PA1571
652,PA4698,107.12721450000001,-0.727168084,-,hypothetical protein PA4698
653,PA0347,777.6856703999999,-0.726343885,glpQ,glycerophosphoryl diester phosphodiesterase
654,PA0216,102.40559920000001,-0.724712769,-,malonate transporter MadM
655,PA1597,30.6014122,-0.724373676,-,hypothetical protein PA1597
656,EBG00001435502,12.96217023,-0.724017736,NaN,NaN
657,PA5021,167.6618858,-0.722801046,-,sodium/hydrogen antiporter
658,PA1007,310.51301960000006,-0.721956176,-,hypothetical protein PA1007
659,PA0810,385.43525439999996,-0.718674642,-,haloacid dehalogenase
660,PA2650,641.1597193,-0.718036381,-,hypothetical protein PA2650
661,PA4486,228.1965571,-0.717743197,-,hypothetical protein PA4486
662,EBG00001435516,32.65041505,-0.716433179,NaN,NaN
663,PA2855,65.87989613,-0.715734445,-,hypothetical protein PA2855
664,PA5178,179.555011,-0.715703674,-,hypothetical protein PA5178
665,PA2202,289.35483789999995,-0.71538131,-,amino acid permease
666,PA4464,15.01117309,-0.713326537,ptsN,nitrogen regulatory IIA protein
667,PA2801,271.49287819999995,-0.713050905,-,hypothetical protein PA2801
668,PA0772,24.8552955,-0.712650572,recO,DNA repair protein RecO
669,PA1578,24.8552955,-0.712650572,-,hypothetical protein PA1578
670,PA5326,24.8552955,-0.712650572,-,hypothetical protein PA5326
671,PA5493,911.1826607999999,-0.710678331,polA,DNA polymerase I
